PG.ProteinGroups,R.FileName,protein_intensity,R.Condition,R.Replicate,intensity_rank,raw_protein_intensity
H9L443,E1_250721_25...E012_sample_18,5626.214970413344,EM16223,3,2412,5365.79011517359
H9L443,E1_250721_25...E012_sample_24,6856.347086565762,EM16223,4,2317,6958.27213366795
H9L443,E1_250721_25...E012_sample_02,4016.2285419879945,EM8513,1,2543,4406.6095655792
H9L443,E1_250721_25...E012_sample_08,4149.472245812277,EM8513,2,2538,4521.46232338662
H9L443,E1_250721_25...E012_sample_14,3464.2759073294533,EM8513,3,2610,4151.01964252971
H9L443,E1_250721_25...E012_sample_20,3534.4966602637214,EM8513,4,2626,3717.16769181512
H9L443,E1_250721_25...E012_sample_03,2458.116319273781,EM9660,1,2668,2491.54579114455
H9L443,E1_250721_25...E012_sample_09,3198.423116821511,EM9660,2,2610,3381.49961084876
H9L443,E1_250721_25...E012_sample_15,4690.564789520754,EM9660,3,2527,4977.49932954214
H9L443,E1_250721_25...E012_sample_21,3051.1696131163244,EM9660,4,2631,3329.51871689193
H9L443,E1_250721_25...E012_sample_04,5094.992316079736,EM9661,1,2447,4791.93288816732
H9L443,E1_250721_25...E012_sample_10,5474.813374364714,EM9661,2,2407,5200.89428212341
H9L443,E1_250721_25...E012_sample_16,5130.079242365029,EM9661,3,2456,4942.36525910703
H9L443,E1_250721_25...E012_sample_22,6021.622270106972,EM9661,4,2342,5292.61090416306
H9L443,E1_250721_25...E012_sample_05,5521.030476066627,EM9662,1,2347,5132.98142069915
H9L443,E1_250721_25...E012_sample_11,6060.693742618767,EM9662,2,2323,5821.04746472364
H9L443,E1_250721_25...E012_sample_17,4944.873643774309,EM9662,3,2389,4707.69384487754
H9L443,E1_250721_25...E012_sample_23,4489.19607727558,EM9662,4,2466,4190.54516493706
H9L443,E1_250721_25...E012_sample_01,6493.259500508105,TH9677,1,2300,6895.57798058715
H9L443,E1_250721_25...E012_sample_07,5140.110949481934,TH9677,2,2407,5008.77464332685
H9L443,E1_250721_25...E012_sample_13,7211.505759356696,TH9677,3,2323,7400.00285458948
H9L443,E1_250721_25...E012_sample_19,6988.701454611759,TH9677,4,2359,7219.93539351074
H9L444,E1_250721_25...E012_sample_06,35259.924322494866,EM16223,1,1095,33473.6347666812
H9L444,E1_250721_25...E012_sample_12,27476.608943165527,EM16223,2,1299,24984.1519874586
H9L444,E1_250721_25...E012_sample_18,31767.292004612245,EM16223,3,1186,30296.8554028888
H9L444,E1_250721_25...E012_sample_24,39809.31870364614,EM16223,4,994,40401.1158563786
H9L444,E1_250721_25...E012_sample_02,29892.345496678892,EM8513,1,1233,32797.9083426516
H9L444,E1_250721_25...E012_sample_08,34497.22850070242,EM8513,2,1107,37589.8209909949
H9L444,E1_250721_25...E012_sample_14,27901.202146067957,EM8513,3,1281,33432.2211211527
H9L444,E1_250721_25...E012_sample_20,21284.29497103761,EM8513,4,1533,22384.3169803705
H9L444,E1_250721_25...E012_sample_03,18782.13475020865,EM9660,1,1626,19037.5648290792
H9L444,E1_250721_25...E012_sample_09,30882.746685068196,EM9660,2,1197,32650.4630823448
H9L444,E1_250721_25...E012_sample_15,35519.10790709109,EM9660,3,1102,37691.9078462499
H9L444,E1_250721_25...E012_sample_21,31691.041808273632,EM9660,4,1170,34582.1210347866
H9L444,E1_250721_25...E012_sample_04,28738.159837285028,EM9661,1,1251,27028.7617186546
H9L444,E1_250721_25...E012_sample_10,30616.68984790434,EM9661,2,1197,29084.8575611929
H9L444,E1_250721_25...E012_sample_16,36555.08105056433,EM9661,3,1071,35217.4993977014
H9L444,E1_250721_25...E012_sample_22,21046.7673055725,EM9661,4,1527,18498.7276089765
H9L444,E1_250721_25...E012_sample_05,33436.10753734612,EM9662,1,1133,31086.0299564891
H9L444,E1_250721_25...E012_sample_11,33844.89962514716,EM9662,2,1126,32506.6362900663
H9L444,E1_250721_25...E012_sample_17,37372.90625898379,EM9662,3,1045,35580.3228626712
H9L444,E1_250721_25...E012_sample_23,42744.95575955907,EM9662,4,957,39901.2795610337
H9L444,E1_250721_25...E012_sample_01,26026.735772254655,TH9677,1,1348,27639.3367743389
H9L444,E1_250721_25...E012_sample_07,39439.01044614285,TH9677,2,995,38431.2940755594
H9L444,E1_250721_25...E012_sample_13,32739.332564988446,TH9677,3,1149,33595.085759160604
H9L444,E1_250721_25...E012_sample_19,36387.54989791889,TH9677,4,1068,37591.4983773931
H9L447,E1_250721_25...E012_sample_06,25882.544919810498,EM16223,1,1348,24571.3191994921
H9L447,E1_250721_25...E012_sample_12,30994.89391992917,EM16223,2,1201,28183.2864503931
H9L447,E1_250721_25...E012_sample_18,23615.11331613429,EM16223,3,1428,22522.0227571767
H9L447,E1_250721_25...E012_sample_24,7417.924489782323,EM16223,4,2284,7528.19783118054
H9L447,E1_250721_25...E012_sample_02,36768.80158611306,EM8513,1,1056,40342.7621437221
H9L447,E1_250721_25...E012_sample_08,40461.160229994086,EM8513,2,976,44088.4046700294
H9L447,E1_250721_25...E012_sample_14,28703.09977368139,EM8513,3,1257,34393.0836195694
H9L447,E1_250721_25...E012_sample_20,35912.148626966744,EM8513,4,1075,37768.1722324398
H9L447,E1_250721_25...E012_sample_03,42608.85675879584,EM9660,1,932,43188.3214355873
H9L447,E1_250721_25...E012_sample_09,46195.88190202887,EM9660,2,882,48840.1161975604
H9L447,E1_250721_25...E012_sample_15,42228.159159586285,EM9660,3,958,44811.3699173773
H9L447,E1_250721_25...E012_sample_21,40637.80835434093,EM9660,4,974,44345.0744093678
H9L447,E1_250721_25...E012_sample_04,44611.45339749477,EM9661,1,915,41957.8828509176
H9L447,E1_250721_25...E012_sample_10,46785.05458814196,EM9661,2,879,44444.277139316
H9L447,E1_250721_25...E012_sample_16,39902.888882058876,EM9661,3,1007,38442.8080798568
H9L447,E1_250721_25...E012_sample_22,45428.10269302576,EM9661,4,897,39928.321784999
H9L447,E1_250721_25...E012_sample_05,30744.30710091377,EM9662,1,1211,28583.4243852406
H9L447,E1_250721_25...E012_sample_11,10366.736507302972,EM9662,2,2061,9956.82471776232
H9L447,E1_250721_25...E012_sample_17,30779.784071389706,EM9662,3,1197,29303.4383602451
H9L447,E1_250721_25...E012_sample_23,26895.124618023496,EM9662,4,1329,25105.8836567542
H9L447,E1_250721_25...E012_sample_01,32716.82473830147,TH9677,1,1136,34743.9396565788
H9L447,E1_250721_25...E012_sample_07,7347.45867369414,TH9677,2,2245,7159.72185413631
H9L447,E1_250721_25...E012_sample_13,24084.309727299977,TH9677,3,1408,24713.834624842
H9L447,E1_250721_25...E012_sample_19,21433.910125567218,TH9677,4,1503,22143.0901494286
